,Soil layer,Soil depth cm,Pinuscontorta_10yrsSeedling,BigSagebrushEcosystem_cm,Shortgrass_JBB_cm,Shortgrass3,ShortgrassSteppe_MeanOf_Liang1989Singh1998_cm,ShortgrassSteppe_MeanOf_Liang1989Singh1998_WeightedByShrub_cm,FILL,C3_John,C4_John,Annuals_John,SchenkJackson2003_PCdry_shrubs,SchenkJackson2003_PCdry_grasses,SchenkJackson2003_PCdry_forbs,Jacksonetal1996_crops,Bradfordetal2014_LodgepolePine
LayerORDepthCM,Layer,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM
Source,,,"Nadeau LB, Pluth DJ (1997) Canadian Journal of Forest Research, 27, 1606-1613.",,"Bradford JB, Lauenroth WK (2006) Journal of Vegetation Science, 17, 693-704.",Dave Smith Thesis (2003),,,,,,,,,,,Bradford et al. (2014) Ecosystems 17:590–605
,,83,0.002666061,0.000871862,,0.001333333,0.002319047,0.001831562,0.005,0.002,0.000395293,0.002,0.0034669491,0.0018304255,0.0018304255,0.0014941094,
,,84,0.002666061,0.000871862,,0.001333333,0.002319047,0.001831562,0.005,0.002,0.000395293,0.002,0.0033885775,0.0017654113,0.0017654113,0.0014358391,
,,85,0.002666061,0.000871862,,0.001333333,0.002319047,0.001831562,0.005,0.002,0.000395293,0.002,0.0033119774,0.0017027064,0.0017027064,0.0013798414,
,,86,0.002666061,0.000871862,,0.001333333,0.002319047,0.001831562,0.005,0.002,0.000395293,0.002,0.003237109,0.0016422286,0.0016422286,0.0013260276,
,,87,0.002666061,0.000871862,,0.001333333,0.002319047,0.001831562,0.005,0.002,0.000395293,0.002,0.0031639329,0.001583899,0.001583899,0.0012743125,
,,88,0.002666061,0.000871862,,0.001333333,0.002319047,0.001831562,0.005,0.002,0.000395293,0.002,0.0030924111,0.0015276411,0.0015276411,0.0012246143,
,,89,,0.000871862,,0.001333333,0.002319047,0.001831562,0.005,0.002,0.000395293,0.002,0.003022506,0.0014733814,0.0014733814,0.0011768544,
,,90,,0.000871862,,0.001333333,0.002319047,0.001831562,0.005,0.002,0.000395293,0.002,0.0029541811,0.001421049,0.001421049,0.001130957,
,,91,,0.000871862,,,0.000158117,8.07E-06,0.005,0.002,0.000395293,0.002,0.0028874008,0.0013705753,0.0013705753,0.0010868497,
,,92,,0.000871862,,,0.000158117,8.07E-06,0.005,0.002,0.000395293,0.002,0.00282213,0.0013218944,0.0013218944,0.0010444626,
